loss,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.5361,1.043010752688172e-05,39.57,18400,,,,,,,,,,,,,,
1.5238,1.0215053763440861e-05,39.78,18500,,,,,,,,,,,,,,
1.5321,1e-05,40.0,18600,,,,,,,,,,,,,,
,,40.0,18600,1.593279242515564,18.2697,2.1693,15.9899,16.0217,19.0,47.4686,21.361,1.348,,,,,
1.533,9.78494623655914e-06,40.22,18700,,,,,,,,,,,,,,
1.5217,9.56989247311828e-06,40.43,18800,,,,,,,,,,,,,,
1.5186,9.35483870967742e-06,40.65,18900,,,,,,,,,,,,,,
1.5087,9.13978494623656e-06,40.86,19000,,,,,,,,,,,,,,
,,41.0,19065,1.593697428703308,18.5265,2.0948,15.9905,16.0203,19.0,46.3978,21.854,1.379,,,,,
1.5272,8.9247311827957e-06,41.08,19100,,,,,,,,,,,,,,
1.5247,8.70967741935484e-06,41.29,19200,,,,,,,,,,,,,,
1.5243,8.494623655913979e-06,41.51,19300,,,,,,,,,,,,,,
1.5308,8.279569892473119e-06,41.72,19400,,,,,,,,,,,,,,
1.521,8.064516129032258e-06,41.94,19500,,,,,,,,,,,,,,
,,42.0,19530,1.5922459363937378,18.5934,2.0263,16.0942,16.1284,19.0,46.3236,21.89,1.382,,,,,
1.5158,7.849462365591398e-06,42.15,19600,,,,,,,,,,,,,,
1.5142,7.634408602150538e-06,42.37,19700,,,,,,,,,,,,,,
1.5401,7.419354838709678e-06,42.58,19800,,,,,,,,,,,,,,
1.5084,7.204301075268817e-06,42.8,19900,,,,,,,,,,,,,,
,,43.0,19995,1.593764066696167,18.4657,2.0061,15.8871,15.9152,19.0,44.989,22.539,1.423,,,,,
1.5205,6.989247311827957e-06,43.01,20000,,,,,,,,,,,,,,
1.5178,6.774193548387098e-06,43.23,20100,,,,,,,,,,,,,,
1.5226,6.559139784946237e-06,43.44,20200,,,,,,,,,,,,,,
1.5076,6.344086021505377e-06,43.66,20300,,,,,,,,,,,,,,
1.53,6.129032258064516e-06,43.87,20400,,,,,,,,,,,,,,
,,44.0,20460,1.5903569459915161,18.3521,1.9362,15.9636,15.9564,19.0,46.0441,22.022,1.39,,,,,
1.5139,5.9139784946236566e-06,44.09,20500,,,,,,,,,,,,,,
1.5198,5.698924731182796e-06,44.3,20600,,,,,,,,,,,,,,
1.5169,5.483870967741936e-06,44.52,20700,,,,,,,,,,,,,,
1.5135,5.268817204301076e-06,44.73,20800,,,,,,,,,,,,,,
1.5257,5.0537634408602155e-06,44.95,20900,,,,,,,,,,,,,,
,,45.0,20925,1.591368317604065,18.452,1.9814,16.0031,16.0537,19.0,47.5586,21.321,1.346,,,,,
1.4932,4.838709677419355e-06,45.16,21000,,,,,,,,,,,,,,
1.5207,4.623655913978495e-06,45.38,21100,,,,,,,,,,,,,,
1.5214,4.408602150537635e-06,45.59,21200,,,,,,,,,,,,,,
1.5226,4.193548387096774e-06,45.81,21300,,,,,,,,,,,,,,
,,46.0,21390,1.5877697467803955,18.4618,2.0171,15.9689,16.0117,19.0,44.8037,22.632,1.428,,,,,
1.5182,3.978494623655914e-06,46.02,21400,,,,,,,,,,,,,,
1.5177,3.763440860215054e-06,46.24,21500,,,,,,,,,,,,,,
1.5066,3.5483870967741936e-06,46.45,21600,,,,,,,,,,,,,,
1.5099,3.3333333333333333e-06,46.67,21700,,,,,,,,,,,,,,
1.528,3.118279569892473e-06,46.88,21800,,,,,,,,,,,,,,
,,47.0,21855,1.5898962020874023,18.5544,2.0744,16.1104,16.1324,19.0,46.663,21.73,1.372,,,,,
1.4982,2.903225806451613e-06,47.1,21900,,,,,,,,,,,,,,
1.5279,2.688172043010753e-06,47.31,22000,,,,,,,,,,,,,,
1.5058,2.4731182795698927e-06,47.53,22100,,,,,,,,,,,,,,
1.5159,2.2580645161290324e-06,47.74,22200,,,,,,,,,,,,,,
1.5092,2.043010752688172e-06,47.96,22300,,,,,,,,,,,,,,
,,48.0,22320,1.5900269746780396,18.5105,2.1137,16.1559,16.1981,19.0,46.2918,21.905,1.383,,,,,
1.5264,1.8279569892473119e-06,48.17,22400,,,,,,,,,,,,,,
1.5028,1.6129032258064516e-06,48.39,22500,,,,,,,,,,,,,,
1.5223,1.3978494623655915e-06,48.6,22600,,,,,,,,,,,,,,
1.505,1.1827956989247313e-06,48.82,22700,,,,,,,,,,,,,,
,,49.0,22785,1.589711308479309,18.4546,2.1225,16.0897,16.1263,19.0,44.3364,22.871,1.444,,,,,
1.5003,9.67741935483871e-07,49.03,22800,,,,,,,,,,,,,,
1.4986,7.526881720430108e-07,49.25,22900,,,,,,,,,,,,,,
1.5105,5.376344086021506e-07,49.46,23000,,,,,,,,,,,,,,
1.5162,3.2258064516129035e-07,49.68,23100,,,,,,,,,,,,,,
1.5129,1.0752688172043011e-07,49.89,23200,,,,,,,,,,,,,,
,,50.0,23250,1.5895918607711792,18.4118,2.0748,16.0673,16.0987,19.0,46.0896,22.001,1.389,,,,,
,,50.0,23250,,,,,,,,,,14876.9958,24.992,1.563,1.006401635745792e+17,1.657184596236034
